Прізвище,Ім'я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Єрченко,Соломія,Євгенівна,Жінка,07.09.2007,Математик,хутір Глиняни,"набережна Цебриківська, буд. 524 кв. 52, Саки , 95611",+380 57 224-70-23,cbabko@example.net
Безбородько,Ірена,Гаврилівна,Жінка,16.10.2005,Намотувальник,село Верхньодніпровськ,"провулок Коцебу міст, буд. 7 кв. 557, Новоград-Волинський, 15212",+380 18 681 03 69,iustym64@example.net
Цимбалюк,Тереза,Амвросійовна,Жінка,07.05.1940,Пілот,село Докучаєвськ,"площа Обсерваторний, буд. 347 кв. 6, Валки , 03189",000 307-19-84,dromanets@example.org
Запорожець,Богданна,Тимофіївна,Жінка,23.07.1997,Швачка,хутір Шумськ,"шосе Сирітський 2-й, буд. 369 кв. 479, Теплодар, 80693",+380 66 825 66 10,emiliia14@example.org
Захарченко,Марта,Болеславівна,Жінка,24.07.1970,Гірничий інженер,місто Щолкіне,"парк Буніна, буд. 675, Новоград-Волинський, 46317",782-46-63,leontii29@example.com
Юхименко,Геннадій,Аврелійович,Чоловік,21.11.1984,Режисер,селище Горлівка,"площа Олександра Невського 4-й, буд. 0 кв. 4, Бахчисарай, 94834",007 290 93 11,iakiv65@example.net
Шморгун,Єлисей,Романович,Чоловік,10.07.2006,Агроном,село Белз,"парк Людмили Гінзбург, буд. 63, Великі Мости, 25189",070 795 24 73,kamillashyian@example.net
Стець,Ліза,Соломонівна,Жінка,19.04.1954,Секретар,селище Рубіжне,"проспект Каманіна, буд. 700 кв. 63, Харків, 47739",+380 52 006-32-29,dan12@example.org
Дзюба,Надія,Яремівна,Жінка,23.09.1964,Юрист,селище Берислав,"сквер Соляний 6-й, буд. 48, Пустомити, 81744",371 83 24,irena44@example.org
Терещук,Йосип,Мартинович,Чоловік,25.12.1956,Піаніст,хутір Буринь,"сквер Кругова, буд. 777, Дрогобич, 23949",324-65-07,anton97@example.com
Орлик,Данна,Романівна,Жінка,10.11.1983,Прокурор,селище Прип'ять ,"шосе Різовська, буд. 0, Львів, 88450",+380 95 898 81 18,pavlykbohuslava@example.net
Івасюк,Мілена,Кирилівна,Жінка,02.02.2007,Електромонтер,місто Городок,"шосе Пржевальського, буд. 5 кв. 039, Перещепине, 18926",037 356-88-23,panchukamvrosii@example.org
Штепа,Єлисавета,Макарівна,Жінка,27.09.2002,Петрограф,місто Зеленодольськ,"сквер Політкаторжан, буд. 6, Новодружеськ, 18293",+380 75 189-43-87,kolesnychenkovadym@example.com
Онуфрієнко,Мілена,Едуардівна,Жінка,31.05.2008,Астрофізик,хутір Миргород,"провулок Житомирський 3-й, буд. 7 кв. 7, Бобровиця, 13984",128 86 57,zinchenkooleh@example.net
Канівець,Святослав,Валерійович,Чоловік,19.07.1990,Реабілітолог,місто Костянтинівка,"сквер Гаріна, буд. 2, Корець, 02417",+380 83 244 67 17,volodymyrromanchuk@example.net
Атрощенко,Аніта,Йосипівна,Жінка,18.01.1974,Машиніст,місто Лубни,"вулиця Терещенка Володимира, буд. 6 кв. 3, Ладижин, 98091",+380 (73) 775-05-98,rebrykborys@example.com
Авраменко,Святослава,Кирилівна,Жінка,18.08.1956,Кухар,місто Золотоноша,"сквер Коцюбинського, буд. 559, Ізюм, 86573",+380 16 152 76 27,xromanchuk@example.org
Аверченко,Наталія,Ігнатівна,Жінка,17.10.1943,Вчитель,село Рівне,"набережна Сибірська, буд. 1 кв. 2, Почаїв, 31309",+380 49 892-29-99,mykolai28@example.com
Деревʼянко,Ольга,Тимофіївна,Жінка,01.12.1995,Юрист,селище Гадяч,"проспект Тимірязєва 5-й, буд. 928, Щастя , 37872",183-48-20,semen56@example.net
Батуринець,Феофан,Антонович,Чоловік,12.07.1950,Фольклорист,селище Хрестівка,"проспект Лінія 32-га, буд. 5, Сквира, 66518",768 93 96,anita07@example.com
Оліфіренко,Ада,Францівна,Жінка,25.04.1977,Золотар,селище Пирятин,"провулок Шкіперська, буд. 164 кв. 64, Кам'янка (Черкаська область), 36861",+380 32 132-72-90,valentyn90@example.com
Деркач,Феофан,Антонович,Чоловік,02.12.1986,Гінеколог,хутір Перемишляни,"провулок Братів Поджіо, буд. 44 кв. 4, Дубляни, 83784",+380 94 278-89-01,iustym57@example.org
Забарний,Панас,Олесьович,Чоловік,20.03.1973,Продюсер,місто Мирноград,"шосе Чорноморський 10-й, буд. 699 кв. 006, Новодружеськ, 25386",+380 55 424-84-18,zishchak@example.org
Карпенко,Лілія,Георгіївна,Жінка,06.11.1979,Режисер,селище Кремінна,"парк Сінна, буд. 150, Кагарлик, 99376",392-49-39,zaietsleontii@example.org
Жук,Юстина,Ааронівна,Жінка,25.09.1967,Режисер,місто Ірміно,"проспект Картамишевська, буд. 516, Чернівці, 33409",+380 90 520-77-82,spasnalyvaiko@example.net
Лагода,Герман,Микитович,Чоловік,22.10.1998,Стропальник,село Пирятин,"провулок Черкаська, буд. 676 кв. 742, Малин, 86326",365-84-61,nvashchuk@example.org
Вітрук,Прохір,Степанович,Чоловік,07.04.1942,Єгер,хутір Семенівка,"сквер Амурський 2-й, буд. 6, Снятин, 32349",046-66-41,iaryna25@example.net
Устенко,Левко,Єфремович,Чоловік,30.07.1952,Бізнесмен,село Хирів,"площа Чорноморський 4-й, буд. 713, Рубіжне, 25947",+380 14 526 62 11,azar91@example.org
Данченко,Василь,Артемович,Чоловік,26.01.1999,Петрограф,село Нова Каховка,"провулок Дунайська, буд. 2 кв. 5, Мелітополь, 71130",+380 30 924-63-53,makar47@example.com
Ващенко-Захарченко,Світлана,Захарівна,Жінка,28.06.1947,Кінорежисер,хутір Красилів,"набережна Восьмого березня узвіз, буд. 5, Теплодар, 15742",+380 85 244-45-24,artymyshynokhrim@example.org
Данильчук,Венедикт,Ярославович,Чоловік,15.11.1999,Музикант,село Миколаїв,"вулиця 1-й Академічний тупик, буд. 080 кв. 273, Мелітополь, 26153",+380 (72) 765-23-11,anitamykytiuk@example.com
Сірко,Лукʼян,Орестович,Чоловік,22.11.1997,Пекар,село Дергачі,"площа Волна тупик, буд. 32 кв. 81, Кадіївка, 82737",064 033-36-31,aleksiukhlib@example.com
Ємець,Богдан,Веніяминович,Чоловік,01.06.2007,Складальник,селище Білопілля,"набережна Академіка Сахарова, буд. 3, Мерефа, 80636",+380 11 084 60 00,afilipenko@example.net
Дараган,Дан,Несторович,Чоловік,24.03.1992,Ріелтор,хутір Любомль,"вулиця Івахненка Петра, буд. 98, Вашківці, 77424",+380 (01) 314-98-63,liudmyla71@example.net
Чабан,Петро,Венедиктович,Чоловік,08.08.1951,Няня,хутір Новомиргород,"проспект Східчастий, буд. 49 кв. 4, Золочів, 21272",638 32 66,paliiopanas@example.net
Архипенко,Златослава,Павлівна,Жінка,14.10.1975,Зоолог,хутір Лисичанськ,"площа Спаський, буд. 2, Баранівка, 39507",+380 (24) 852-82-38,ievhenshynkarenko@example.net
Єрошенко,Йосип,Олексович,Чоловік,05.11.1947,Професор,хутір Феодосія,"проспект Івана Вазова, буд. 345, Жашків, 40644",+380 05 876-26-51,shukhevychhryhorii@example.com
Дерегус,Болеслав,Охрімович,Чоловік,07.01.1980,Няня,село Корсунь-Шевченківський,"провулок Хімічна, буд. 76, Мирноград, 63954",+380 55 500 91 95,vadymvertyporokh@example.net
Сірченко,Гордій,Тимофійович,Чоловік,24.08.2004,Графік,хутір Білгород-Дністровський,"парк Естафетна, буд. 22, Старокостянтинів, 11372",584 44 04,fartushniakiefrem@example.org
Ющенко,Надія,Павлівна,Жінка,19.11.1948,Прокурор,хутір Черкаси,"узвіз Лютневий 2-й, буд. 944 кв. 763, Новомиргород, 13188",+380 63 646-48-84,opavlyk@example.org
Михайлюк,Венедикт,Володимирович,Чоловік,07.11.1970,Стиліст,селище Великі Мости,"провулок Шостої 2-й, буд. 1 кв. 51, Нетішин, 55019",089-44-94,rakbohuslava@example.org
Бабенко,Олесь,Леопольдович,Чоловік,25.06.1954,Різноробочий,село Долинська,"провулок Весняна, буд. 8, Джанкой, 11389",+380 36 051-67-17,ievtushenkoamvrosii@example.org
Дахно,Геннадій,Владиславович,Чоловік,16.10.1979,Ботанік,місто Монастириська,"проспект Зоряна, буд. 9, Угнів, 31908",391-08-78,lbatiuk@example.org
Оробець,Артем,Алевтинович,Чоловік,06.05.1956,Клоун,селище Овруч,"провулок Тупиковий 2-й, буд. 82 кв. 487, Ходорів, 15716",+380 62 934-67-06,makariemelianenko@example.com
Атаманюк,Георгій,Веніяминович,Чоловік,15.05.1962,Геолог,село Хотин,"набережна Віцеадмірала Азарова, буд. 4, Золочів, 55472",+380 26 346-98-84,pavlo17@example.com
Овчаренко,Яків,Аврелійович,Чоловік,13.04.1959,Дерун,місто Андрушівка,"вулиця Колекційна, буд. 526, Бершадь, 33446",066 294-80-51,heorhiigerus@example.net
Вернигора,Руслан,Русланович,Чоловік,10.08.2005,Флорист,село Ладижин,"парк Старицького, буд. 00, Сніжне, 52672",064 665 97 66,snizhana26@example.com
Данченко,Марʼяна,Спасівна,Жінка,30.06.2006,Антрополог,хутір Южноукраїнськ,"вулиця Першотравневий 3-й, буд. 1, Погребище, 71276",942-84-80,qsvystun@example.com
Бандера,Микита,Вікторович,Чоловік,01.09.1981,Кухар,селище Березань ,"сквер Каштанова, буд. 16 кв. 9, Хирів, 92632",017 851-58-04,zorian54@example.net
Ажажа,Микита,Макарович,Чоловік,21.07.1994,Бізнесмен,село Камінь-Каширський,"парк Палія Семена, буд. 84 кв. 25, Березань , 74370",025 057-45-04,dbalaban@example.com
Овчаренко,Устим,Владиславович,Чоловік,13.10.1995,Ріелтор,хутір Костопіль,"проспект Ялинкова, буд. 4 кв. 77, Дружківка, 33854",062 263 31 55,aleksandrenkofrants@example.com
Харченко,Ігор,Гаврилович,Чоловік,26.09.1974,Адвокат,місто Бровари,"узвіз Санаторний, буд. 20, Курахове, 04091",+380 57 472-76-59,shcherbanemiliia@example.net
Дацюк,Семен,Прохорович,Чоловік,10.12.1962,Гінеколог,село Чистякове,"парк Гагарінське плато, буд. 4, Лебедин, 53632",+380 82 086 13 85,vanchenkoorysia@example.com
Цюпа,Ігор,Костянтинович,Чоловік,13.12.1997,Адвокат,місто Кремінна,"набережна В’ячеслава Чорновола, буд. 52 кв. 8, Городище , 95876",081 269 67 07,batihteodor@example.com
Ірванець,Гордій,Святославович,Чоловік,12.05.1987,Єгер,хутір Золоте,"узвіз Одарія, буд. 185 кв. 1, Червоносів, 09012",383 95 53,tarasiarosh@example.net
Давимука,Ігнат,Іванович,Чоловік,12.07.1967,Геофізик,селище Кам'янка-Бузька,"набережна Старорізнична, буд. 42 кв. 57, Перещепине, 38459",+380 (73) 158-97-04,dtokar@example.com
Сич,Богуслава,Владиславівна,Жінка,12.07.1988,Кушнір,селище Снігурівка,"площа Наявний 5-й, буд. 229, Заліщики, 06844",024 690 45 89,bohdan17@example.com
Тарасенко,Теодор,Адамович,Чоловік,31.10.2005,Журналіст,селище Рені,"площа Міцкевича, буд. 493 кв. 878, Пирятин, 44065",+380 10 873 93 37,dakhnomarta@example.net
Власенко,Зиновій,Пантелеймонович,Чоловік,02.09.2003,Геолог,місто Ічня,"вулиця Матроський узвіз, буд. 137 кв. 779, Покров, 27738",+380 07 975-89-56,allashevchenko@example.com
Саєнко,Андрій,Лукʼянович,Чоловік,23.03.1999,Льотчик,село Миронівка,"узвіз Анни Ахматової, буд. 64, Надвірна, 16399",+380 34 058-98-49,zatovkaniukstefan@example.net
Аронець,Ірена,Владиславівна,Жінка,09.04.1951,Фольклорист,хутір Антрацит ,"узвіз Леваневського тупик, буд. 5, Біла Церква, 93724",+380 56 773-91-50,adasalii@example.net
Чуприна,Макар,Петрович,Чоловік,13.01.1946,Архітектор,хутір Мелітополь,"провулок Басейний 4-й, буд. 81, Хорол , 93126",+380 33 904-71-53,boleslavakymenko@example.org
Саєнко,Панас,Арсенович,Чоловік,14.10.1938,Промисловець,хутір Новояворівськ,"шосе Хвойний, буд. 27 кв. 40, Дубровиця, 96066",048 991 80 58,shchyrytsiamartyn@example.org
Швайка,Ірена,Костянтинівна,Жінка,30.12.1983,Композитор,село Кобеляки,"площа Садова 2-га, буд. 777, Рогатин, 55609",079 069 39 93,hukroksolana@example.org
Корсун,Ігнат,Амвросійович,Чоловік,18.07.1997,Акушер,місто Армянськ,"набережна Слєпньова, буд. 438, Алмазна, 92596",117 21 40,cshcherbak@example.com
Гунько,Оксана,Кирилівна,Жінка,13.10.1959,Фотограф,хутір Рубіжне,"проспект Іванова, буд. 12 кв. 139, Камінь-Каширський, 19931",+380 (40) 762-76-12,xmazur@example.com
Євтушенко,Пармен,Вʼячеславович,Чоловік,22.11.1990,Музичний редактор,село Селидове,"парк Магнітогорський 2-й, буд. 74 кв. 042, Мар'їнка, 43248",+380 84 096-23-63,stepan30@example.org
Власенко,Давид,Петрович,Чоловік,04.12.1957,Фрілансер,село Канів,"узвіз Князівська, буд. 1 кв. 793, Новомиргород, 49164",449-31-04,vasyl37@example.com
Єрошенко,Дмитро,Мартинович,Чоловік,07.05.1984,Електротехнік,місто Коростишів,"провулок Юннатів, буд. 470 кв. 3, Корець, 74381",029-86-41,vlasenkosviatoslava@example.com
Їжакевич,Геннадій,Климентович,Чоловік,13.04.1945,Швачка,хутір Хуст,"парк 8-ма Лінія 6-й ст. Люстдорфської дороги, буд. 3 кв. 993, Вашківці, 63819",+380 12 355 26 70,lutsenkomyroslav@example.com
Гаврилишин,Тереза,Святославівна,Жінка,15.05.1949,Євнух,селище Чоп,"парк Марата 1-й, буд. 372, Курахове, 23155",064 003 43 02,cieresko@example.com
Ярош,Олекса,Романович,Чоловік,04.03.1945,Маркетолог,місто Щолкіне,"сквер Слєпньова, буд. 63, Кропивницький, 09057",839-06-67,hlib47@example.com
Гресь,Стефан,Іванович,Чоловік,25.11.1988,Художник,село Дергачі,"площа Нескучна, буд. 20, Добромиль, 60325",041 79 01,orest13@example.net
Аронець,Опанас,Іванович,Чоловік,09.11.1949,Кінорежисер,селище Феодосія,"набережна Марсельська, буд. 37, Селидове, 86247",+380 86 743 56 49,martyn71@example.org
Вернидуб,Варвара,Данівна,Жінка,23.12.1972,Головний меркшейдер,селище Путивль,"вулиця Українська, буд. 98, Дубляни, 99863",037-95-49,shelestirena@example.org
Атаманчук,Любов,Юхимівна,Жінка,17.07.1952,Клоун,селище Миколаїв,"шосе Транспортна, буд. 5 кв. 337, Соледар, 68910",777-31-04,hordii47@example.org
Євтушок,Тетяна,Федорівна,Жінка,25.10.1958,Публіцист,місто Красногорівка,"сквер Дружний, буд. 418, Іловайськ, 39671",+380 31 219-17-89,tgereta@example.org
Ващенко,Орина,Кирилівна,Жінка,28.03.1945,Живописець,хутір Олександрівськ,"проспект Текстильників, буд. 4, Вознесенівка, 72359",+380 09 215 75 60,pandrusenko@example.net
Іващенко,Леон,Орестович,Чоловік,13.10.1977,Євнух,село Кодима,"проспект Ковиловий, буд. 6 кв. 299, Миронівка, 53281",+380 58 158 20 45,shamraialina@example.org
Вдовиченко,Любов,Давидівна,Жінка,04.06.1992,Вчитель,село Носівка,"узвіз Паустовського, буд. 97 кв. 0, Дергачі, 99822",028 877-24-87,wdarahan@example.com
Арсенич,Григорій,Георгійович,Чоловік,22.02.2004,Ботанік,хутір Покровськ,"площа Каркашадзе, буд. 90, Самбір, 66469",022 367-51-85,shabliimariia@example.net
Павленко,Тетяна,Степанівна,Жінка,03.01.1969,Паблік рилейшнз,хутір Петрово-Красносілля,"проспект Садиковська, буд. 2 кв. 09, Першотравенськ, 30835",+380 96 237 30 96,nadiiapalii@example.org
Якимчук,Мартин,Альбертович,Чоловік,12.05.2002,Літературознавець,селище Чорнобиль,"провулок Марата 2-й, буд. 77 кв. 01, Соснівка , 06873",072 126 07 75,parmen06@example.com
Яремчук,Анастасія,Тарасівна,Жінка,08.06.1953,Архітектор,село Валки ,"сквер Нежданової, буд. 962 кв. 5, Ясинувата, 87924",089 298 31 81,danylenkoliudmyla@example.org
Ґжицький,Богуслав,Геннадійович,Чоловік,09.10.1949,Фрілансер,селище Лутугине,"шосе Обривиста, буд. 51 кв. 155, Мар'їнка, 78444",270 45 10,heorhii57@example.net
Примаченко,Петро,Алевтинович,Чоловік,29.03.1963,Літературознавець,хутір Стебник,"узвіз Пушкінська, буд. 8 кв. 427, Львів, 32476",+380 01 716 37 60,andrii43@example.net
Супруненко,Михайлина,Мирославівна,Жінка,03.06.1979,Ґрунтознавець,місто Родинське,"проспект Центральна, буд. 43, Хрестівка, 19419",023 672 75 32,volodymyr35@example.org
Петрик,Наталія,Костянтинівна,Жінка,06.03.2005,Круп'є,місто Скадовськ,"площа Відважних, буд. 873, Сватове, 81962",248 85 23,khoma31@example.org
Примаченко,Олекса,Ааронович,Чоловік,26.05.1946,Графік,місто Старий Самбір,"узвіз Першотравневий 3-й, буд. 68 кв. 150, Рівне, 87392",003 301-69-70,prokhir25@example.com
Тесля,Кирило,Климентович,Чоловік,03.07.1952,Льотчик,місто Лозова ,"парк Селекційна, буд. 1, Гірник , 46632",046 612 65 95,olehtsiupa@example.org
Величко,Ярина,Германівна,Жінка,15.04.1981,Електрослюсар,хутір Лебедин,"парк Лиманчик 2-й Лінія 9-та, буд. 667 кв. 9, Мукачево, 13635",198-47-46,anzhela10@example.net
Базавлученко,Альбіна,Євгенівна,Жінка,02.12.1968,Бібліограф,село Белз,"шосе Тополиний, буд. 60 кв. 4, Кальміуське, 63696",051 702-40-52,vdovenkoanzhela@example.org
Андрощук,Остап,Мирославович,Чоловік,16.05.2004,Мовознавець,село Буськ,"вулиця Гаріна, буд. 551 кв. 596, Дебальцеве, 88275",+380 05 377 42 00,stefan55@example.net
Гук,Стефан,Владиславович,Чоловік,07.09.1948,Педагог,село Тараща,"шосе Грибоєдова, буд. 348 кв. 13, Благовіщенське, 84620",064 23 01,solomonvasylenko@example.net
Смик,Олесь,Ярославович,Чоловік,17.08.1984,Бібліотекар,хутір Старокостянтинів,"площа Сосюри, буд. 764, Корсунь-Шевченківський, 48963",+380 (13) 841-62-48,kolesnychenkomykyta@example.org
Аронець,Макар,Леонідович,Чоловік,18.09.1996,Фермер,село Сорокине,"вулиця Уральська, буд. 379, Новоукраїнка, 55757",+380 (52) 747-58-45,rnikoliuk@example.org
Усик,Любов,Прохорівна,Жінка,13.05.1966,Геолог,село Южне,"набережна Миколи Огренича, буд. 691 кв. 90, Ясинувата, 74519",089-49-37,rhohol@example.com
Нестеренко,Клавдія,Леонтіївна,Жінка,24.10.1968,Мікробіолог,село Зборів,"проспект Верстатобудівна, буд. 38 кв. 34, Сніжне, 61162",655 44 57,aleksiichukvitalii@example.com
Данилюк,Валентина,Назарівна,Жінка,09.05.1982,Пекар,хутір Галич,"узвіз Махачкалинська, буд. 98, Кременець, 68386",818 55 72,priskavashchuk@example.com
Деркач,Анастасія,Леонідівна,Жінка,22.12.1974,Історик,хутір Мирноград,"узвіз Сабанський, буд. 822 кв. 8, Тисмениця, 17760",+380 17 318-95-42,dubasoryna@example.org
Баштан,Єлисей,Алевтинович,Чоловік,17.03.1977,Електромонтажник,село Тлумач,"сквер Воронцовський, буд. 574, Федорівка, 29587",023 456-65-78,gchalyi@example.org
Їжакевич,Степан,Олексович,Чоловік,10.12.1974,Реабілітолог,хутір Тетіїв,"узвіз Гілельса, буд. 01, Покров, 96190",196 03 49,rostyslavpelekh@example.com
Швайка,Михайлина,Венедиктівна,Жінка,25.10.2002,Астронавт,селище Вознесенівка,"набережна Артезіанська, буд. 357, Українськ, 70422",+380 74 713-26-76,komarspas@example.com
Швачка,Дан,Альбертович,Чоловік,04.03.1952,Ґрунтознавець,місто Обухів,"вулиця Кострова, буд. 99, Ланівці, 93679",+380 (43) 840-85-15,violettazabara@example.net
Павленко,Христина,Олександрівна,Жінка,10.09.1949,Кушнір,хутір Маріуполь,"шосе Яші Гордієнка, буд. 2 кв. 55, Кам'янка-Дніпровська, 07620",+380 92 844-75-17,lupiimariia@example.org
Ажажа,Орися,Венедиктівна,Жінка,18.01.1958,Музикант,село Макіївка,"шосе Лінія 38-ма, буд. 5, Барвінкове, 67059",092 390 29 31,ghohol-ianovskyi@example.org
Ґерус,Левко,Яремович,Чоловік,22.04.1972,Доцент,село Деражня,"набережна Юхима Фесенка, буд. 1, Буча, 13487",054 559-93-38,stelmakhzynovii@example.org
Охримович,Панас,Борисович,Чоловік,02.12.1991,Продюсер,хутір Сновськ,"площа Газовий, буд. 2, Соледар, 70881",045 158-77-53,romanishchak@example.org
Комар,Веніямин,Хомович,Чоловік,01.11.1994,Програміст,селище Олександрія,"набережна Данькевича, буд. 75 кв. 91, Ковель, 73974",658 93 01,qiarosh@example.net
Яременко,Богдан,Трохимович,Чоловік,15.09.1949,Фотограф,селище Балаклія,"сквер Бабеля, буд. 85 кв. 114, Долинська, 10436",+380 93 867-05-79,mtychyna@example.com
Чабан,Світлана,Едуардівна,Жінка,14.07.2000,Письменник,хутір Кролевець,"проспект Хутірський, буд. 1, Черкаси, 94970",+380 (54) 483-04-46,bbazylevskyi@example.net
Христич,Дарина,Гордіївна,Жінка,06.10.2003,Акушер,селище Прип'ять ,"набережна Старобазарний, буд. 3 кв. 678, Лебедин, 33888",224 67 47,prokhirdemianenko@example.net
Пустовіт,Емілія,Теодорівна,Жінка,09.02.2008,Хімік,місто Тараща,"парк Госпітальний, буд. 30 кв. 014, Барвінкове, 78899",+380 (00) 554-58-28,yrak@example.net
Єсипенко,Ганна,Климентівна,Жінка,16.05.1998,Філолог,хутір Федорівка,"шосе Чорноморський 11-й, буд. 041, Христинівка, 83632",061 781 93 18,dkhrystenko@example.com
Ващук,Олександр,Демидович,Чоловік,04.02.1966,Промисловець,село Ровеньки,"площа 21-й км Старокиївської дороги, буд. 541, Новоукраїнка, 97191",+380 05 743 81 03,iakymchukonysym@example.net
Тимчук,Христина,Олегівна,Жінка,16.10.1950,Гірник,село Українськ,"проспект Льва Симиренка, буд. 807, Іршава, 54235",+380 48 096-37-22,ielysei25@example.com
Жученко,Орхип,Макарович,Чоловік,26.09.1969,Художник,місто Донецьк,"парк Мічуріна, буд. 597 кв. 6, Переяслав, 83198",+380 (60) 887-05-97,hanna96@example.net
Хомик,Амалія,Русланівна,Жінка,02.08.1973,Клавішник,місто Кривий Ріг,"узвіз Лінія 24-та, буд. 136, Чернівці, 41854",047 820-65-35,okhrimivanychuk@example.com
Панчук,Данна,Венедиктівна,Жінка,12.12.1970,Лікар,селище Вашківці,"вулиця Академіка Глушка, буд. 3, Бунге , 71148",+380 45 660-68-76,averchenkodaryna@example.net
Ґереґа,Франц,Азарович,Чоловік,05.08.1993,Музикант,село Вижниця,"площа Ползунова 1-й, буд. 811 кв. 63, Радомишль, 85291",036 745 16 80,hryhorii92@example.net
Пушкар,Ліза,Володимирівна,Жінка,04.05.1984,Прокурор,село Маріуполь,"площа Пересипський 2-й, буд. 41 кв. 5, Сарни, 03520",+380 45 430 11 89,rnalyvaiko@example.com
Гаврилюк,Оксенія,Станіславівна,Жінка,03.08.2007,Нотаріус,селище Токмак,"провулок Іцхака Рабіна, буд. 018, Горлівка, 68825",+380 86 366-11-77,geretamartyn@example.com
Ємець,Макар,Зиновійович,Чоловік,24.07.1956,Історик,хутір Теребовля,"проспект Лазурний 3-й, буд. 021 кв. 0, Заставна, 82999",016 091-44-67,kybkalosolomiia@example.org
Жаліло,Петро,Богданович,Чоловік,10.03.2005,Піаніст,хутір Костянтинівка,"проспект Катерининська, буд. 806, Хрустальний, 37202",345 44 30,frants11@example.org
Панчук,Михайлина,Трохимівна,Жінка,22.05.1966,Намотувальник,хутір Полонне,"проспект Бернардацці, буд. 494 кв. 275, Приморськ (Україна), 02559",+380 22 393-51-07,okhrim60@example.com
Засядько,Степан,Лукʼянович,Чоловік,19.12.1992,Перекладач,місто Дебальцеве,"узвіз Перший Кришталевий, буд. 136 кв. 1, Бобровиця, 91228",+380 08 525 31 28,emiliia95@example.com
Кириленко,Мирон,Костянтинович,Чоловік,12.04.1946,Археолог,хутір Устилуг,"проспект Молоді, буд. 48 кв. 9, Гребінка, 39155",+380 20 271-49-06,alla03@example.org
Ватаманюк,Алла,Вікторівна,Жінка,30.09.1998,Агроном,селище Новгород-Сіверський,"набережна Вишневий, буд. 744, Новодністровськ, 63126",+380 (75) 881-52-62,vladyslav79@example.org
Жарко,Алевтин,Семенович,Чоловік,13.10.1953,Фермер,місто Жидачів,"проспект 12-та Суворовська, буд. 49, Шепетівка, 54319",+380 (70) 103-06-67,bnazarenko@example.net
Тягнибок,Дарина,Венедиктівна,Жінка,03.06.1959,Пілот,селище Малин,"узвіз Канатний, буд. 202 кв. 211, Миронівка, 31486",+380 (42) 055-20-86,ibabak@example.com
Шило,Мирон,Симонович,Чоловік,06.01.1968,Письменник,місто Гірське,"площа Павлодарська, буд. 45, Добромиль, 80514",883 60 22,feofanvenhrynovych@example.org
Яремко,Едита,Миронівна,Жінка,12.11.1956,Краєзнавець,хутір Амвросіївка,"вулиця Андреєвського, буд. 5, Володимир-Волинський, 37590",+380 76 058-84-43,kybkalozynovii@example.org
Забарна,Оксана,Охрімівна,Жінка,07.04.1967,Юрист,село Кам'янка-Бузька,"вулиця Калинова, буд. 958, Суходільськ, 95268",+380 40 340-14-48,larysa21@example.net
Чалий,Прохір,Устимович,Чоловік,28.07.1947,Літературознавець,хутір Вільнянськ,"парк Бреуса, буд. 857 кв. 798, Кодима, 28400",+380 31 942-13-29,vishchenko@example.org
Худяк,Ярослава,Трохимівна,Жінка,27.10.1995,Стиліст,хутір Верхньодніпровськ,"парк Степний 2-й, буд. 20, Щастя , 53684",011 553 53 25,odarkahohol@example.com
Уманець,Гордій,Бориславович,Чоловік,20.11.1961,Швачка,місто Іловайськ,"шосе Восьмого Березня Лінія 1-ша, буд. 15 кв. 7, Чоп, 40557",015 205 13 09,amaliia30@example.org
Ільченко,Володимир,Трохимович,Чоловік,30.04.1987,Дерун,селище Балта,"шосе 9-та Суворовська, буд. 948 кв. 42, Почаїв, 75141",052 91 09,pdanchuk@example.org
Зарудна,Галина,Богодарівна,Жінка,13.05.1944,Гінеколог,хутір Олешки,"набережна 2-й Академічний тупик, буд. 408 кв. 01, Горлівка, 75169",+380 97 856-02-39,alevtyn42@example.net
Тимчук,Климент,Віталійович,Чоловік,01.04.1977,Модель,селище Дубляни,"узвіз Кар’єрна, буд. 08 кв. 64, Молодогвардійськ, 42804",560 70 15,hlib83@example.net
Гаврилець,Гліб,Варфоломійович,Чоловік,20.06.1967,Графік,селище Устилуг,"площа Бахчева, буд. 645, Енергодар, 15429",+380 07 322 83 23,fiashchenko@example.com
Давимука,Алла,Демʼянівна,Жінка,18.01.1988,Географ,селище Кадіївка,"узвіз 14-та Лінія 6-й ст. Люстдорфської дороги, буд. 8 кв. 9, Прип'ять , 75954",031 729 82 32,viktorisaienko@example.org
Ємельяненко,Демид,Ааронович,Чоловік,07.08.2003,Кур'єр,місто Дрогобич,"набережна Восьмого Березня Лінія 2-га, буд. 431 кв. 0, Гнівань, 25352",+380 01 059 38 95,bohuslavamazur@example.com
Левченко,Богодар,Соломонович,Чоловік,12.12.1954,Мікробіолог,село Підгайці,"парк Магнітогорський, буд. 218 кв. 478, Гайворон, 45281",+380 (55) 354-38-17,iryna81@example.org
Жадан,Орися,Ігнатівна,Жінка,01.04.1961,Доцент,село Корюківка,"вулиця Східний 1-й, буд. 7, Бахчисарай, 80004",097 846 72 38,iaroslava18@example.net
Яремчук,Богуслава,Едуардівна,Жінка,30.05.1977,Електротехнік,місто Житомир,"шосе Сабанєєв, буд. 6 кв. 481, Українськ, 56570",047 513 81 80,knosenko@example.com
